from,to,time
L315,L145,40.1979244323
L321,L145,41.4885463182
L323,L145,43.2215582972
L328,L145,25.6131070316
L333,L145,23.543074346
L334,L145,20.9464675431
L336,L145,21.922663323
L338,L145,24.0247640857
L349,L145,25.790158355
L355,L145,22.5174809464
L361,L145,38.1893591845
L365,L145,57.5874295087
L370,L145,27.4464600368
L371,L145,47.8079667613
L375,L145,37.9527419064
L382,L145,41.0544932712
L385,L145,51.0901582555
L387,L145,45.3773560059
L392,L145,27.0691951352
L393,L145,28.6658960536
L402,L145,33.4948066874
L408,L145,22.0737499288
L411,L145,22.1207436849
L412,L145,22.5260682467
L418,L145,23.1565164128
L423,L145,24.1031485201
L430,L145,26.371770422
L431,L145,27.2537894179
L437,L145,28.0075401779
L444,L145,28.5698886809
L445,L145,29.8316884389
L469,L145,32.7067863342
L483,L145,13.8314600026
L493,L145,15.9194046869
L495,L145,17.0167932306
L496,L145,18.3410346143
L511,L145,19.4550691326
L527,L145,33.6139891319
L529,L145,32.4152304459
L530,L145,30.5821623539
L540,L145,29.4261802426
L543,L145,18.2081320181
L554,L145,20.4821982909
L556,L145,15.2295320376
L560,L145,17.6723039222
L0,L145,22.2378279918
L7,L146,30.7100919943
L18,L146,31.1301110613
L26,L146,56.6413773773
L33,L146,47.6281655208
L36,L146,40.8106030644
L38,L146,36.4945398734
L57,L146,32.8253348042
L62,L146,28.6425096338
L63,L146,25.9647348042
L70,L146,22.2970601721
L75,L146,20.3108854851
L76,L146,17.3671573006
L77,L146,15.6752892969
L78,L146,13.2079548775
L79,L146,16.8011036864
L80,L146,23.3674369503
L81,L146,48.7791724071
L82,L146,30.3034134538
L91,L146,28.38625876
L93,L146,32.1384273399
L99,L146,38.3065175039
L102,L146,35.8358437837
L103,L146,32.4851004568
L106,L146,29.4164322513
L113,L146,61.3355366075
L116,L146,19.6603036433
L122,L146,18.4577287604
L128,L146,17.1606419319
L134,L146,16.1122223362
L135,L146,17.2092300146
L138,L146,14.6274915275
L139,L146,12.2034037489
L141,L146,9.92809279101
L145,L146,7.86690911539
L146,L146,0
L147,L146,7.1527173392
L150,L146,9.27327866719
L151,L146,33.4238704147
L153,L146,19.4348280716
L154,L146,33.6239865259
L155,L146,30.3078107819
L156,L146,31.0155844059
L157,L146,31.8463017598
L159,L146,22.5224184434
L162,L146,26.6890190149
L168,L146,21.5839236624
L171,L146,24.9401360955
L173,L146,23.8418680124
L178,L146,22.163482047
L179,L146,22.2667024589
L185,L146,27.1895421708
L186,L146,25.9655031708
L191,L146,29.7712697027
L203,L146,34.9477903358
L206,L146,35.8387655241
L213,L146,36.23757644
L222,L146,36.9296377625
L227,L146,37.8947625728
L229,L146,42.7357924867
L231,L146,31.635830884
L246,L146,29.2684954581
L247,L146,23.3558468847
L249,L146,23.347363764
L252,L146,24.1622642655
L262,L146,23.5206606049
L271,L146,23.0970820232
L273,L146,23.7563886793
L274,L146,26.205696478
L292,L146,27.3535513102
L299,L146,28.6429242313
L309,L146,31.0127624191
L310,L146,32.5809077201
L313,L146,38.9050976866
L315,L146,40.6205139055
L321,L146,42.0031321476
L323,L146,43.8233268216
L328,L146,27.8738110848
L333,L146,25.6581886968
L334,L146,22.7514258182
L336,L146,23.5851501791
L338,L146,25.4608972059
L349,L146,26.9075533168
L355,L146,19.678664505
L361,L146,36.8822462956
L365,L146,57.5911808079
L370,L146,26.0991864598
L371,L146,48.4276443156
L375,L146,35.0859350357
L382,L146,38.1907309878
L385,L146,51.6810377645
L387,L146,46.0210748048
L392,L146,24.224284476
L393,L146,25.8131655545
L402,L146,30.6306894433
L408,L146,19.3789383771
L411,L146,19.5504170449
L412,L146,20.2084241107
L418,L146,21.0951565341
L423,L146,22.3241720175
L430,L146,25.318719252
L431,L146,26.4434579418
L437,L146,27.4194617903
L444,L146,28.140731928
L445,L146,29.636046256
L469,L146,32.9380272204
L483,L146,13.454702532
L493,L146,15.6509801287
L495,L146,17.0659689897
L496,L146,18.6613985797
L511,L146,19.9967833316
L527,L146,36.0594469592
L529,L146,34.7838920682
L530,L146,32.8516201414
L540,L146,31.6151732993
L543,L146,15.3655907596
L554,L146,17.6542899273
L556,L146,12.3702400379
L560,L146,19.5634886961
L0,L146,24.2197122111
L7,L147,32.8616497619
L18,L147,33.2762389675
L26,L147,57.6420565677
L33,L147,48.560070829
L36,L147,41.666253988
L38,L147,37.2829516931
L57,L147,33.5384633269
L62,L147,29.1889042526
L63,L147,26.3556547511
L70,L147,22.4479559781
L75,L147,20.2648853527
L76,L147,16.7053491699
L77,L147,14.4867576091
L78,L147,11.4978899875
L79,L147,14.736293489
L80,L147,21.2157037918
L81,L147,50.7019457547
L82,L147,31.8101193804
L91,L147,29.9060350046
L93,L147,33.6323694153
L99,L147,40.3565759304
L102,L147,37.8590492144
L103,L147,34.4332966301
L106,L147,31.2598346263
L113,L147,62.3619651397
L116,L147,21.8036370997
L122,L147,20.549854901
L128,L147,19.1799010577
L134,L147,18.020468079
L135,L147,18.8793192602
L138,L147,16.5954500092
L139,L147,14.2765003896
L141,L147,12.076620254
L145,L147,10.0196155815
L146,L147,7.1527173392
L147,L147,0
L150,L147,7.12785428283
L151,L147,32.4076275969
L153,L147,17.2996622852
L154,L147,31.5420797934
L155,L147,28.2010049148
L156,L147,29.6284009799
L157,L147,30.6509224635
L159,L147,20.4015735072
L162,L147,24.5547331483
L168,L147,19.4862317332
L171,L147,23.3566507023
L173,L147,22.1095707563
L178,L147,20.2824826434
L179,L147,20.2626117468
L185,L147,25.854826876
L186,L147,24.5014605402
L191,L147,28.6374989452
L203,L147,34.7992653367
L206,L147,35.8420246492
L213,L147,36.3938569654
L222,L147,37.2420537179
L227,L147,38.3450566734
L229,L147,43.8192470202
L231,L147,29.5646462119
L246,L147,27.2443883865
L247,L147,21.8627658038
L249,L147,22.0513327819
L252,L147,23.278388289
L262,L147,22.7379837437
L271,L147,22.5095427118
L273,L147,23.3045070415
L274,L147,26.1169589253
L292,L147,27.3992204168
L299,L147,28.7888493863
L309,L147,31.2171212613
L310,L147,32.810460558
L313,L147,39.2885045203
L315,L147,41.075819849
L321,L147,42.5203950846
L323,L147,44.397817975
L328,L147,29.6494423529
L333,L147,27.3514372845
L334,L147,24.2705368203
L336,L147,25.0069442065
L338,L147,26.7192378607
L349,L147,27.9393988767
L355,L147,17.557072947
L361,L147,36.0305169504
L365,L147,57.6875930803
L370,L147,25.2874787134
L371,L147,49.0014752983
L375,L147,32.9332425832
L382,L147,36.0403061853
L385,L147,52.2256726382
L387,L147,46.6192377591
L392,L147,22.0915906941
L393,L147,23.672901975
L402,L147,28.4800774318
L408,L147,17.4023861781
L411,L147,17.6991558088
L412,L147,18.6000515869
L418,L147,19.7183336802
L423,L147,21.1868931027
L430,L147,24.7570419628
L431,L147,26.0632615563
L437,L147,27.2030830854
L444,L147,28.0397414911
L445,L147,29.6987352313
L469,L147,33.2930996728
L483,L147,13.7888878332
L493,L147,15.9411543661
L495,L147,17.5326053262
L496,L147,19.2721260194
L511,L147,20.7298623073
L527,L147,37.9361219745
L529,L147,36.6121430164
L530,L147,34.6188974639
L540,L147,33.3332003867
L543,L147,13.2439697523
L554,L147,15.5467100505
L556,L147,10.2276601884
L560,L147,21.1676481017
L0,L147,25.8379402136
L7,L150,34.9823265206
L18,L150,35.3677100361
L26,L150,58.477342841
L33,L150,49.3413356468
L36,L150,42.3884130853
L38,L150,37.9534009676
L57,L150,34.1514524624
L62,L150,29.6653624418
L63,L150,26.7043640009
L70,L150,22.6090882141
L75,L150,20.2693848194
L76,L150,16.1712382377
L77,L150,13.4502772145
L78,L150,9.94176528889
L79,L150,12.6624002088
L80,L150,19.1149427555
L81,L150,52.5045226471
L82,L150,33.208598741
L91,L150,31.3243139536
L93,L150,35.0123026218
L99,L150,42.3117108086
L102,L150,39.7838389911
L103,L150,36.2771313513
L106,L150,32.9979130364
L113,L150,63.2174435399
L116,L150,23.8922899109
L122,L150,22.5716809954
L128,L150,21.1278374951
L134,L150,19.8681263704
L135,L150,20.5054743076
L138,L150,18.5060225093
L139,L150,16.2950979383
L141,L150,14.1811864388
L145,L150,12.1368637937
L146,L150,9.27327866719
L147,L150,7.12785428284
L150,L150,0
L151,L150,31.3127739469
L153,L150,15.1724151049
L154,L150,29.5821916356
L155,L150,26.2014450654
L156,L150,28.1748877363
L157,L150,29.3849578269
L159,L150,18.279277786
L162,L150,22.503749485
L168,L150,17.3781186306
L171,L150,21.7358539817
L173,L150,20.3425243207
L178,L150,18.3721110748
L179,L150,18.232033776
L185,L150,24.4740286189
L186,L150,22.9966062391
L191,L150,27.4440731419
L203,L150,34.5566502598
L206,L150,35.7444952434
L213,L150,36.4449467436
L222,L150,37.443464801
L227,L150,38.6779354745
L229,L150,44.7623747087
L231,L150,27.470759347
L246,L150,25.1876831005
L247,L150,20.3469726857
L249,L150,20.7414213836
L252,L150,22.3850454251
L262,L150,21.955671707
L271,L150,21.9306637321
L273,L150,22.8528382333
L274,L150,25.9963594571
L292,L150,27.3993320776
L299,L150,28.8759826072
L309,L150,31.3441654937
L310,L150,32.9524430382
L313,L150,39.551705749
L315,L150,41.4036498353
L321,L150,42.9048217403
L323,L150,44.8334130751
L328,L150,31.3222280552
L333,L150,28.9495952734
L334,L150,25.7159726374
L336,L150,26.3553246716
L338,L150,27.9005766469
L349,L150,28.8951180839
L355,L150,15.5437610414
L361,L150,35.0840540134
L365,L150,57.6208872113
L370,L150,24.447103112
L371,L150,49.4249555828
L375,L150,30.8197577906
L382,L150,33.9178932957
L385,L150,52.6133960991
L387,L150,47.0724867197
L392,L150,19.964692529
L393,L150,21.5450594181
L402,L150,26.3580436624
L408,L150,15.4070926654
L411,L150,15.8344450993
L412,L150,16.992389938
L418,L150,18.3491492749
L423,L150,20.0545419548
L430,L150,24.1766298425
L431,L150,25.6522264771
L437,L150,26.9449848535
L444,L150,27.8889816284
L445,L150,29.6967185928
L469,L150,33.5558995403
L483,L150,14.3695914866
L493,L150,16.3868221349
L495,L150,18.0951186241
L496,L150,19.9297818298
L511,L150,21.4764968125
L527,L150,39.6987187005
L529,L150,38.3252143276
L530,L150,36.2719823273
L540,L150,34.9386557664
L543,L150,11.2494505779
L554,L150,13.5716267716
L556,L150,8.09980957388
L560,L150,22.7143662768
L0,L150,27.3695123657
L7,L151,52.3779909563
L18,L151,51.1374385863
L26,L151,48.1857905942
L33,L151,39.8749673316
L36,L151,33.9058590823
L38,L151,30.3680640523
L57,L151,27.6010114517
L62,L151,24.3054708031
L63,L151,22.4419969569
L70,L151,21.1386848748
L75,L151,20.8898124378
L76,L151,21.2370065014
L77,L151,22.9300747899
L78,L151,26.4657629459
L79,L151,26.7478790928
L80,L151,30.4462172158
L81,L151,58.3281707437
L82,L151,36.9828214357
L91,L151,36.1433265688
L93,L151,37.843927187
L99,L151,52.9968345182
L102,L151,50.2395983578
L103,L151,45.8888287897
L106,L151,41.7281038486
L113,L151,52.6074976863
L116,L151,41.9690574567
L122,L151,39.5341785706
L128,L151,37.4582577773
L134,L151,35.5297397925
L135,L151,33.4848662598
L138,L151,35.5947035244
L139,L151,35.7747317562
L141,L151,35.8900532175
L145,L151,34.9545580804
L146,L151,33.4238704147
L147,L151,32.4076275969
L150,L151,31.3127739469
L151,L151,0
L153,L151,27.8932731139
L154,L151,39.3638141721
L155,L151,36.3973339897
L156,L151,11.1123616621
L157,L151,8.11099648485
L159,L151,26.9860215866
L162,L151,33.2314813122
L168,L151,26.2002405024
L171,L151,16.674900558
L173,L151,18.9977007245
L178,L151,21.7485453219
L179,L151,23.7684409725
L185,L151,12.7278758511
L186,L151,14.7956615314
L191,L151,9.05890790978
L203,L151,17.2698154461
L206,L151,19.6191573897
L213,L151,21.8115307598
L222,L151,24.2099015309
L227,L151,26.5585561912
L229,L151,38.5311543843
L231,L151,26.0134718902
L246,L151,23.8086950439
L247,L151,16.9683560116
L249,L151,15.7841294424
L252,L151,14.3359629183
L262,L151,15.1575057891
L271,L151,16.1975608087
L273,L151,16.3393095576
L274,L151,17.7872721326
L292,L151,18.8364618522
L299,L151,19.8166787493
L309,L151,20.7184526427
L310,L151,21.3948083172
L313,L151,26.2272571727
L315,L151,28.2331996121
L321,L151,29.9707177635
L323,L151,31.9993344459
L328,L151,39.6288555643
L333,L151,37.1548011718
L334,L151,33.6492868307
L336,L151,32.8298688204
L338,L151,31.5864701954
L349,L151,29.42982953
L355,L151,31.8923059111
L361,L151,9.34375906216
L365,L151,37.0077232959
L370,L151,12.655848633
L371,L151,35.3947577278
L375,L151,34.1290757751
L382,L151,34.856356323
L385,L151,37.5801235686
L387,L151,33.9095447393
L392,L151,27.6415436534
L393,L151,28.381045007
L402,L151,31.1044426437
L408,L151,24.3231236541
L411,L151,22.7197209362
L412,L151,20.2365849632
L418,L151,18.2018524257
L423,L151,16.2584829205
L430,L151,14.5410734407
L431,L151,15.12447921
L437,L151,16.1999809829
L444,L151,17.1941600384
L445,L151,18.8967101856
L469,L151,23.0867067596
L483,L151,26.708282377
L493,L151,25.215222718
L495,L151,25.2624893669
L496,L151,25.4962383672
L511,L151,26.0379161928
L527,L151,47.0312602194
L529,L151,45.1369517848
L530,L151,42.6707202858
L540,L151,41.0156606084
L543,L151,31.4616049728
L554,L151,32.005424561
L556,L151,29.9645615833
L560,L151,33.513866743
L0,L151,35.4493783199
L7,L153,45.1125201171
L18,L153,45.3804258521
L26,L153,63.159063717
L33,L153,53.9655193542
L36,L153,46.9521171869
L38,L153,42.4637086
L57,L153,38.6031611006
L62,L153,33.8448678677
L63,L153,30.6245588369
L70,L153,26.2807188765
L75,L153,23.7293459856
L76,L153,18.6245919923
L77,L153,15.1744795354
L78,L153,12.9003917813
L79,L153,8.21822514857
L80,L153,9.59685829132
L81,L153,61.3159487568
L82,L153,40.7417760546
L91,L153,38.9871105533
L93,L153,42.4255923669
L99,L153,51.7824319608
L102,L153,49.1536121105
L103,L153,45.3762192463
L106,L153,41.7602727105
L113,L153,67.9177116951
L116,L153,33.9225997067
L122,L153,32.4071895821
L128,L153,30.7703272571
L134,L153,29.2640592344
L135,L153,29.2661051866
L138,L153,28.103604044
L139,L153,26.1994228353
L141,L153,24.2948054457
L145,L153,22.2839188827
L146,L153,19.4348280716
L147,L153,17.2996622852
L150,L153,15.1724151049
L151,L153,27.8932731139
L153,L153,0
L154,L153,20.9960699564
L155,L153,17.424532041
L156,L153,22.911406429
L157,L153,25.1566532512
L159,L153,8.16420708698
L162,L153,13.4201995115
L168,L153,7.59129677864
L171,L153,16.2838333905
L173,L153,14.0356643525
L178,L153,11.2420194002
L179,L153,9.62824540593
L185,L153,20.167278038
L186,L153,18.1244109299
L191,L153,23.8640408646
L203,L153,35.234856078
L206,L153,37.0188647447
L213,L153,38.3536854416
L222,L153,39.9679942926
L227,L153,41.7186934097
L229,L153,50.1832791708
L231,L153,17.5360844
L246,L153,15.6157886033
L247,L153,16.0134030985
L249,L153,17.6781577532
L252,L153,21.3238278846
L262,L153,21.5620076924
L271,L153,22.5399290912
L273,L153,23.8777682801
L274,L153,28.0319820688
L292,L153,29.7974643436
L299,L153,31.5012212763
L309,L153,33.9315787171
L310,L153,35.4866697024
L313,L153,42.2462425373
L315,L153,44.3035426355
L321,L153,45.9956918456
L323,L153,48.0817616861
L328,L153,39.8861225164
L333,L153,37.3135432892
L334,L153,33.6819043597
L336,L153,33.968257952
L338,L153,34.8588666311
L349,L153,34.9805436627
L355,L153,9.00138716813
L361,L153,32.1868283549
L365,L153,58.2201690152
L370,L153,23.2753403142
L371,L153,52.4816049664
L375,L153,20.8279143401
L382,L153,23.8243087644
L385,L153,55.4278809726
L387,L153,50.3282514948
L392,L153,9.79280638461
L393,L153,11.3843553641
L402,L153,16.2897772806
L408,L153,8.71723100556
L411,L153,10.4560502392
L412,L153,13.236772486
L418,L153,15.6742226025
L423,L153,18.2530462337
L430,L153,24.3616534551
L431,L153,26.4188401791
L437,L153,28.2497245354
L444,L153,29.570384947
L445,L153,31.8585678955
L469,L153,36.5735714592
L483,L153,21.0829890282
L493,L153,22.21986184
L495,L153,23.9449288271
L496,L153,25.7940550106
L511,L153,27.4380745605
L527,L153,48.4593039887
L529,L153,46.916835835
L530,L153,44.671827221
L540,L153,43.1878538279
L543,L153,10.2306019296
L554,L153,9.47469988194
L556,L153,12.0744387066
L560,L153,31.1372411855
L0,L153,35.5574089437
L7,L154,58.7978586792
L18,L154,59.5659233553
L26,L154,78.6133258407
L33,L154,69.4727925525
L36,L154,62.5111327339
L38,L154,58.0619106362
L57,L154,54.2401992924
L62,L154,49.4917481004
L63,L154,46.2769437557
L70,L154,41.9986414152
L75,L154,39.4915595565
L76,L154,34.4467414772
L77,L154,31.1115234648
L78,L154,28.7637316654
L79,L154,24.1846850724
L80,L154,16.4158121136
L81,L154,76.9463208585
L82,L154,56.6994954668
L91,L154,54.9221764296
L93,L154,58.3995380209
L99,L154,66.8902381039
L102,L154,64.3652094959
L103,L154,60.8050158511
L106,L154,57.3772422471
L113,L154,83.347503934
L116,L154,48.1789863598
L122,L154,47.0813821537
L128,L154,45.705719234
L134,L154,44.4302720271
L135,L154,44.8166209164
L138,L154,43.0881662157
L139,L154,40.8159351838
L141,L154,38.4895092928
L145,L154,36.4140868025
L146,L154,33.6239865259
L147,L154,31.5420797934
L150,L154,29.5821916356
L151,L154,39.3638141721
L153,L154,20.9960699564
L154,L154,0
L155,L154,8.57355311361
L156,L154,33.3196549726
L157,L154,36.2594188761
L159,L154,19.3503702851
L162,L154,12.5826818764
L168,L154,20.5953292639
L171,L154,28.6013487655
L173,L154,26.4733293086
L178,L154,24.436341146
L179,L154,22.3317472625
L185,L154,32.3458575434
L186,L154,30.3589479454
L191,L154,35.8849193106
L203,L154,49.2682534816
L206,L154,51.3183741186
L213,L154,52.9505256694
L222,L154,54.8241086402
L227,L154,56.7694374779
L229,L154,65.9628997329
L231,L154,19.1323763357
L246,L154,20.676306995
L247,L154,29.4166259513
L249,L154,31.5060623145
L252,L154,35.644979333
L262,L154,36.1953578513
L271,L154,37.5133625595
L273,L154,38.8985297293
L274,L154,43.169939969
L292,L154,44.986848064
L299,L154,46.7042601659
L309,L154,49.0235795086
L310,L154,50.4979189692
L313,L154,57.1194493351
L315,L154,59.2246609204
L321,L154,60.9708745456
L323,L154,63.0902533369
L328,L154,55.5848818176
L333,L154,53.0746237091
L334,L154,49.534641242
L336,L154,49.8910451255
L338,L154,50.8488593948
L349,L154,50.953512396
L355,L154,19.0670150607
L361,L154,43.6021435463
L365,L154,71.2834082852
L370,L154,37.2500586674
L371,L154,67.3131410744
L375,L154,12.5215447996
L382,L154,15.0664523394
L385,L154,70.0756890446
L387,L154,65.2990099562
L392,L154,17.85619861
L393,L154,16.5320199612
L402,L154,13.3748786337
L408,L154,23.9229761368
L411,L154,25.4491616656
L412,L154,27.9657857085
L418,L154,30.2464872428
L423,L154,32.7032300963
L430,L154,38.9573488065
L431,L154,41.1112902255
L437,L154,43.0611488778
L444,L154,44.4718052959
L445,L154,46.8545839591
L469,L154,51.7554497178
L483,L154,36.9977516097
L493,L154,38.2123431536
L495,L154,39.9409531859
L496,L154,41.7884465604
L511,L154,43.4308523725
L527,L154,64.0951791033
L529,L154,62.6267269689
L530,L154,60.4488012592
L540,L154,59.0085173225
L543,L154,23.3328632111
L554,L154,21.0110421516
L556,L154,26.7801442025
L560,L154,46.8394648191
L0,L154,51.3638006797
L7,L155,55.6746418682
L18,L155,56.3506256054
L26,L155,75.1158908166
L33,L155,65.9642641409
L36,L155,58.9923919097
L38,L155,54.5358127025
L57,L155,50.7071663271
L62,L155,45.9552960036
L63,L155,42.73811426
L70,L155,38.4496371363
L75,L155,35.9363938925
L76,L155,30.8832693525
L77,L155,27.5391583018
L78,L155,25.212708683
L79,L155,20.6176417945
L80,L155,12.8422603215
L81,L155,73.4623234317
L82,L155,53.1405146449
L91,L155,51.3684843268
L93,L155,54.8363594289
L99,L155,63.5076697833
L102,L155,60.9604521317
L103,L155,57.3555646389
L106,L155,53.8892909293
L113,L155,79.8552942859
L116,L155,44.9235923381
L122,L155,43.7507568782
L128,L155,42.3272674343
L134,L155,41.0102689612
L135,L155,41.3319007168
L138,L155,39.6954201282
L139,L155,37.4756977901
L141,L155,35.2046337297
L145,L155,33.1264866601
L146,L155,30.3078107819
L147,L155,28.2010049148
L150,L155,26.2014450654
L151,L155,36.3973339897
L153,L155,17.424532041
L154,L155,8.57355311361
L155,L155,0
L156,L155,30.4303302644
L157,L155,33.3123334286
L159,L155,15.8294249818
L162,L155,9.00913323009
L168,L155,17.0624462117
L171,L155,25.3619984255
L173,L155,23.1734321603
L178,L155,21.0170392789
L179,L155,18.8838098975
L185,L155,29.1890917156
L186,L155,27.1627347683
L191,L155,32.7971651425
L203,L155,45.9651810304
L206,L155,47.9796214646
L213,L155,49.5693112903
L222,L155,51.4060080056
L227,L155,53.3238135955
L229,L155,62.4131159726
L231,L155,16.9835315526
L246,L155,18.0220893259
L247,L155,26.069823916
L249,L155,28.1367255606
L252,L155,32.2481538754
L262,L155,32.7633705221
L271,L155,34.0452581296
L273,L155,35.4284720786
L274,L155,39.6939925956
L292,L155,41.506986407
L299,L155,43.2249475138
L309,L155,45.5628732467
L310,L155,47.0508437058
L313,L155,53.7015573359
L315,L155,55.801606684
L321,L155,57.5410115325
L323,L155,59.6569456994
L328,L155,52.0801423365
L333,L155,49.5566772501
L334,L155,45.997448916
L336,L155,46.3394683508
L338,L155,47.2805128172
L349,L155,47.3803286246
L355,L155,15.6579413969
L361,L155,40.6837314725
L365,L155,68.1925140174
L370,L155,33.9060973178
L371,L155,63.9119969395
L375,L155,12.3470088415
L382,L155,15.5516635824
L385,L155,66.7074903826
L387,L155,61.873529317
L392,L155,14.4050329055
L393,L155,13.1986101675
L402,L155,11.1140550669
L408,L155,20.37239712
L411,L155,21.920946899
L412,L155,24.4763440974
L418,L155,26.7882352311
L423,L155,29.2741485653
L430,L155,35.5409830353
L431,L155,37.6894061645
L437,L155,39.628556176
L444,L155,41.0301009723
L445,L155,43.4041841056
L469,L155,48.2851169475
L483,L155,33.4446938664
L493,L155,34.6428164512
L495,L155,36.3693567076
L496,L155,38.2155859501
L511,L155,39.857690646
L527,L155,60.6062825038
L529,L155,59.1222844873
L530,L155,56.9299690584
L540,L155,55.4802680478
L543,L155,19.9610936221
L554,L155,17.6550373506
L556,L155,23.3371900135
L560,L155,43.3295556611
L0,L155,47.836347395
L7,L156,52.5989600808
L18,L156,51.7262641715
L26,L156,53.6155473212
L33,L156,45.035974335
L36,L156,38.7159958413
L38,L156,34.8341795632
L57,L156,31.6509882238
L62,L156,27.7013902663
L63,L156,25.2107486325
L70,L156,22.654295224
L75,L156,21.5076845794
L76,L156,19.9066834119
L77,L156,20.3736545325
L78,L156,23.2371713391
L79,L156,22.3797573854
L80,L156,24.8915004893
L81,L156,61.2839604339
L82,L156,39.5626978765
L91,L156,38.4404734539
L93,L156,40.6762533271
L99,L156,54.8087296489
L102,L156,52.0182909774
L103,L156,47.6922613706
L106,L156,43.5285028022
L113,L156,58.1305611046
L116,L156,41.640609396
L122,L156,39.3362468465
L128,L156,37.2638443736
L134,L156,35.3265493355
L135,L156,33.6896512666
L138,L156,35.0658552151
L139,L156,34.7006153163
L141,L156,34.2882747391
L145,L156,33.0052444559
L146,L156,31.0155844059
L147,L156,29.6284009799
L150,L156,28.1748877363
L151,L156,11.1123616621
L153,L156,22.911406429
L154,L156,33.3196549726
L155,L156,30.4303302644
L156,L156,0
L157,L156,8.0184210476
L159,L156,21.5302799807
L162,L156,27.4186557322
L168,L156,20.9083761595
L171,L156,11.7731332867
L173,L156,13.8886587492
L178,L156,16.6721857619
L179,L156,18.4719775582
L185,L156,8.87245540932
L186,L156,10.2046595325
L191,L156,8.76859849697
L203,L156,22.6680993816
L206,L156,24.9864867733
L213,L156,27.0560497406
L222,L156,29.3559127434
L227,L156,31.6449457468
L229,L156,43.1344644435
L231,L156,19.9070404625
L246,L156,17.7121293401
L247,L156,12.8436929391
L249,L156,12.7142604095
L252,L156,13.9333119925
L262,L156,15.0388114875
L271,L156,16.6769758462
L273,L156,17.4910311056
L274,L156,20.5459350834
L292,L156,22.057621011
L299,L156,23.4311773698
L309,L156,24.9308700067
L310,L156,25.9311285391
L313,L156,31.5071437923
L315,L156,33.5811269187
L321,L156,35.3502312548
L323,L156,37.4323029893
L328,L156,41.40207613
L333,L156,38.7842884623
L334,L156,35.037814666
L336,L156,34.468434095
L338,L156,33.7338243332
L349,L156,32.0670236234
L355,L156,26.8392416435
L361,L156,15.2829901534
L365,L156,43.1173756255
L370,L156,13.5169961654
L371,L156,41.0687985247
L375,L156,28.0215281966
L382,L156,28.8259636732
L385,L156,43.3999233847
L387,L156,39.44129428
L392,L156,21.9622998164
L393,L156,22.5441643174
L402,L156,25.0238939293
L408,L156,19.6221744536
L411,L156,18.2394324764
L412,L156,16.2640619049
L418,L156,14.9246992349
L423,L156,14.0688292323
L430,L156,16.0890145969
L431,L156,17.6583506121
L437,L156,19.3555191547
L444,L156,20.675295348
L445,L156,22.8371278906
L469,L156,27.562140276
L483,L156,25.7468995848
L493,L156,24.7884587798
L495,L156,25.3692844485
L496,L156,26.1465757739
L511,L156,27.1071731992
L527,L156,49.364679807
L529,L156,47.5050723642
L530,L156,45.0163120658
L540,L156,43.3462528352
L543,L156,27.0989989184
L554,L156,27.258737291
L556,L156,26.2678238578
L560,L156,34.2280637057
L0,L156,36.9714723056
L7,L157,52.1635794705
L18,L157,51.1092524773
L26,L157,50.8162881104
L33,L157,42.3374219572
L36,L157,36.1508504709
L38,L157,32.4014244036
L57,L157,29.3804716091
L62,L157,25.686483338
L63,L157,23.4468923215
L70,L157,21.4259954252
L75,L157,20.6885354069
L76,L157,20.0504249089
L77,L157,21.1923658388
L78,L157,24.4632423341
L79,L157,24.2549640717
L80,L157,27.4968874672
L81,L157,59.5635391939
L82,L157,37.9702153546
L91,L157,36.973675316
L93,L157,38.9725091416
L99,L157,53.6113726756
L102,L157,50.8313362114
L103,L157,46.484054409
L106,L157,42.3104230309
L113,L157,55.2967574671
L116,L157,41.4474944383
L122,L157,39.0696571127
L128,L157,36.9867752595
L134,L157,35.0446036179
L135,L157,33.1969119329
L138,L157,34.945466347
L139,L157,34.8545735345
L141,L157,34.7116643
L145,L157,33.6035233693
L146,L157,31.8463017598
L147,L157,30.6509224635
L150,L157,29.3849578269
L151,L157,8.11099648485
L153,L157,25.1566532512
L154,L157,36.2594188761
L155,L157,33.3123334286
L156,L157,8.01842104759
L157,L157,0
L159,L157,24.066171665
L162,L157,30.1939086614
L168,L157,23.3385294745
L171,L157,13.8736281022
L173,L157,16.1594039912
L178,L157,18.9450194689
L179,L157,20.8959750162
L185,L157,10.0975201089
L186,L157,12.0460569033
L191,L157,7.21802225527
L203,L157,19.8376599293
L206,L157,22.1753122943
L213,L157,24.2952533801
L222,L157,26.6382653383
L227,L157,28.9558113829
L229,L157,40.6619650411
L231,L157,22.924771578
L246,L157,20.6980852056
L247,L157,14.4498088614
L249,L157,13.6450872053
L252,L157,13.3794944631
L262,L157,14.3955150473
L271,L157,15.8002742753
L273,L157,16.3162671338
L274,L157,18.7208977772
L292,L157,20.0597282009
L299,L157,21.2857989234
L309,L157,22.5554960161
L310,L157,23.4340190069
L313,L157,28.7442995246
L315,L157,30.7964692256
L321,L157,32.5562565989
L323,L157,34.6207255993
L328,L157,40.1899676754
L333,L157,37.6301855942
L334,L157,33.9805746079
L336,L157,33.2901712066
L338,L157,32.3147056214
L349,L157,30.4151088452
L355,L157,29.1392680049
L361,L157,12.3753132399
L365,L157,40.1163364922
L370,L157,12.2807308096
L371,L157,38.1716082481
L375,L157,31.038658294
L382,L157,31.8287839276
L385,L157,40.4530996222
